UID          PID    PPID  C STIME TTY          TIME CMD
patrick+    1701    1525  0 03:46 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.3WTEY1 -listen 4 -listen 5 -displayfd 6 -initfd 7
patrick+    1715    1610  0 03:46 ?        00:00:00 /usr/bin/ibus-daemon --panel disable
patrick+    1725    1342  0 03:46 ?        00:00:00 /usr/libexec/gsd-printer
patrick+    1742    1715  0 03:46 ?        00:00:00 /usr/libexec/ibus-dconf
patrick+    1743    1715  0 03:46 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
patrick+    1747    1342  0 03:46 ?        00:00:00 /usr/libexec/ibus-portal
patrick+    1763    1715  0 03:46 ?        00:00:00 /usr/libexec/ibus-engine-simple
patrick+    1770    1342  0 03:46 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
patrick+    1771    1342  0 03:46 ?        00:00:00 /usr/libexec/gsd-xsettings
patrick+    1773    1342  0 03:46 ?        00:00:00 /usr/libexec/xdg-desktop-portal
patrick+    1803    1342  0 03:46 ?        00:00:00 /usr/libexec/xdg-document-portal
root        1809    1803  0 03:46 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
patrick+    1813    1342  0 03:46 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
patrick+    1837    1342  0 03:46 ?        00:00:00 /usr/libexec/ibus-x11
patrick+    1868    1508  0 03:46 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
patrick+    1875    1508  0 03:46 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
patrick+    1928    1342  0 03:46 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
patrick+    2076    1508  0 03:47 ?        00:00:00 update-notifier
patrick+    2220    1363  0 03:47 ?        00:00:00 /usr/libexec/gvfsd-http --spawner :1.3 /org/gtk/gvfs/exec_spaw/1
root        3504       1  0 03:50 ?        00:00:00 /lib/systemd/systemd-udevd
syslog      4548       1  0 03:50 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root       17847       1  0 03:51 ?        00:00:00 /usr/sbin/irqbalance --foreground
root       17850       1  0 03:51 ?        00:00:00 /usr/libexec/accounts-daemon
colord     17851       1  0 03:51 ?        00:00:00 /usr/libexec/colord
kernoops   17859       1  0 03:51 ?        00:00:00 /usr/sbin/kerneloops --test
root       17860       1  0 03:51 ?        00:00:00 /usr/libexec/packagekitd
root       17861       1  0 03:51 ?        00:00:00 /usr/libexec/power-profiles-daemon
root       17863       1  0 03:51 ?        00:00:00 /usr/libexec/switcheroo-control
root       17864       1  0 03:51 ?        00:00:00 /usr/libexec/upowerd
root       17872       1  0 03:51 ?        00:00:00 /sbin/multipathd -d -s
kernoops   17874       1  0 03:51 ?        00:00:00 /usr/sbin/kerneloops
root       17890       1  0 03:51 ?        00:00:00 /usr/libexec/polkitd --no-debug
root       17895       1  0 03:51 ?        00:00:00 /usr/libexec/udisks2/udisksd
root       17904       1  0 03:51 ?        00:00:00 /usr/sbin/spice-vdagentd
root       17933       1  0 03:51 ?        00:00:00 /usr/sbin/ModemManager
root       17934       1  0 03:51 ?        00:00:00 /usr/sbin/cupsd -l
root       17935       1  0 03:51 ?        00:00:00 /usr/sbin/cups-browsed
patrick+   18145    1342  0 03:51 ?        00:00:01 /usr/libexec/gnome-terminal-server
patrick+   18163   18145  0 03:51 pts/0    00:00:00 bash
root       18444       2  0 04:01 ?        00:00:00 [kworker/2:3-pm]
root       18480       2  0 04:11 ?        00:00:00 [kworker/u8:0-events_power_efficient]
root       18522       2  0 04:24 ?        00:00:00 [kworker/u8:2-events_power_efficient]
root       18539       2  0 04:24 ?        00:00:00 [kworker/u8:3-events_unbound]
patrick+   18666    1525  0 04:46 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1280:800:1:27:0:0:0:0
root       19277       2  0 04:52 ?        00:00:00 [kworker/3:1-events]
root       19280       2  0 04:53 ?        00:00:00 [kworker/0:0-events]
patrick+   19310    1363  0 04:53 ?        00:00:00 /usr/libexec/gvfsd-network --spawner :1.3 /org/gtk/gvfs/exec_spaw/2
patrick+   19328    1363  0 04:53 ?        00:00:00 /usr/libexec/gvfsd-dnssd --spawner :1.3 /org/gtk/gvfs/exec_spaw/4
root       19341       2  0 04:53 ?        00:00:00 [kworker/1:0-events]
root       19359       2  0 04:54 ?        00:00:00 [kworker/3:3-usb_hub_wq]
root       19473       2  0 04:59 ?        00:00:00 [kworker/u8:1-events_unbound]
root       19478       2  0 05:04 ?        00:00:00 [kworker/2:1-events]
patrick+   19480   18163  0 05:04 pts/0    00:00:00 ps -ef
